,Fecha,Titulo,Desripcion,Empresa
279,"Ayer, 09:10 p. m.",Empleo de Meseros	 - Para Envigado,Se requieren bachilleres o técnicos en mesa y bar con 1 año de experiencia como mesero. Funciones: Tomar el pedido de..,
280,"Ayer, 09:10 p. m.",Empleo de Conductor de camioneta ,Empresa requiere personal con tres (3) años de experiencia general en conducción de vehículos livianos y dos (2) años..,
281,"Ayer, 09:10 p. m.",Empleo de Ingeniero/a de seguridad y salud,Importante consorcio de la zona de Urabá requiere para su equipo de trabajo Ingeniero de seguridad y salud en el..,
282,"Ayer, 09:10 p. m.",Empleo de Analista Desarrollador de Software - Junior ,"Importante empresa del sector Retail productora y comercializadora de marcas como: Naf Naf, Americanino, Chevignon,..", MODYMARCA S . A . S 
283,"Ayer, 09:10 p. m.",Empleo de Ejecutivo comercial - en Libranza,"En el grupo AVAL queremos personas con capacidad de persuasión, innovación, alto nivel de tolerancia a la..", VENTAS Y SERVICIOS S.A.
284,"Ayer, 09:10 p. m.",Empleo de Ejecutivo comercial - en Libranza,"En el grupo AVAL queremos personas con capacidad de persuasión, innovación, alto nivel de tolerancia a la..", VENTAS Y SERVICIOS S.A.
285,"Ayer, 09:10 p. m.",Empleo de Operario máquina sesgadora,Empresa de insumo médicos plásticos solicita para su equipo de trabajo Operario de confección. Requisitos:  - 2 años.., Tiempos SAS
286,"Ayer, 09:10 p. m.",Empleo de Auxiliar contable,"Reconocida empresa, del sector alimenticio. solicita auxiliar contable; tecnico o tecnologo, con 1 año de experiencia,..", Redes Humanas
287,"Ayer, 09:10 p. m.",Empleo de Operario máquina plana,Empresa de insumo médicos plásticos solicita para su equipo de trabajo Operario de confección. Requisitos:  - 2 años.., Tiempos SAS
288,"Ayer, 09:10 p. m.",Empleo de Auxiliar Administrativo en Salud Comercial y Facturación ,"Importante compañía del sector de servicios de salud, requiere para su equipo de trabajo asistentes comerciales y de..", MANPOWER PROFESSIONAL LTDA
289,"Ayer, 09:10 p. m.",Empleo de Vendedora  - Con Experiencia Mínimo 6 Meses,Importante empresa requiere para su equipo de trabajo vendedora con disponibilidad de tiempo para desempeñar labores.., MANPOWER PROFESSIONAL LTDA
290,"Ayer, 09:10 p. m.",Empleo de Auxiliar De Cocina  - Con Experiencia Cocinando en Grandes Cantidades,Importante empresa del sector requiere para su equipo de trabajo persona con experiencia mínimo de 1 año cocinando en.., MANPOWER PROFESSIONAL LTDA
291,"Ayer, 09:10 p. m.",Empleo de Auxiliar de Almacén Picking y Packing  - Para Reemplazo de Maternidad,"Importante multinacional requiere para su equipo de trabajo, auxiliares de almacén con experiencia mínima de 1 año..", MANPOWER PROFESSIONAL LTDA
292,"Ayer, 09:10 p. m.",Empleo de Ejecutivo Comercial de Meson  -  Medellin,Banco Falabella. requiere de manera urgentepara su equipo de trabajoasesores comerciales con mínimo 6 meses de.., MISION TEMPORAL
293,"Ayer, 09:10 p. m.",Empleo de Ejecutivo Comercial Full Time  -  Medellin,Banco Falabella. requiere de manera urgentepara su equipo de trabajoasesores comerciales con mínimo 6 meses de.., MISION TEMPORAL
294,"Ayer, 09:10 p. m.","Empleo de Interprete simultaneo desde casa, nivel avanzado de ingles. Bono de contratación ",Desarrolla tus habilidades como interprete !! Si cuentas con disponibilidad de tiempo completo e inmediato para.., Teleperformance Colombia 
295,"Ayer, 09:10 p. m.",Empleo de Auxiliar de Entrega Urgente - Medellin,Importante empresa de soluciones logísticas requiere para su equipo de trabajo bachilleres con 1 año de experiencia.., Dar Ayuda Temporal
296,"Ayer, 09:10 p. m.",Empleo de Almacenista repuestos motos - con experiencia certificada ,exela S.A requiere técnico o tecnólogo en logística con experiencia mínima de 1 año como almacenista de repuestos de.., Exela Servicios Temporales S.A
297,"Ayer, 09:10 p. m.",Empleo de Administrador de punto de venta Motos,"Nos encontramos en la búsqueda de una persona, que será la encargada de Administrar el punto de venta asignado,..", Colombiana de Comercio Corbeta S.A. /Alkosto
298,"Ayer, 09:10 p. m.",Empleo de Asesora comercial  - Medio tiempo ,Importante empresa de la ciudad de Medellín requiere para su equipo de trabajo asesoras comerciales para laborar medio.., COMPLEMENTOS HUMANOS
299,"Ayer, 09:10 p. m.",Empleo de Asesor Bilingüe - English Level required: (C1) / (C2) Advanced,We are looking for people with a high level of English for the Customer Service Agent position at OneLink Medellin..., OneLink BPO
300,"Ayer, 09:09 p. m.",Empleo de Asesor comercial - con experiencia en venta de pinturas,Importante empresa del sector pinturas requiere para su equipo de trabajo un asesor comercial encargado de vender y.., ASIGNAR S.A.S
301,"Ayer, 09:09 p. m.",Empleo de isleros para estacion de servicio  - lugar de trabajo la ceja  presentate,"SE REQUIERE ISLERO PARA ESTACION DE SERVICIO,  Condisponibilidad de tiempo para laborar de lunes a domingo con un di¬a..", ACTIVOS S A S
302,"Ayer, 09:09 p. m.",Empleo de Asesor comercial Externo portafolio bancario - 1 año de experiencia en portafolio financiero,"Importante entidad financiera requiere ejecutivos comerciales externos en portafolio bancario (libranza, rotativo,..", ACTIVOS S A S
303,"Ayer, 09:09 p. m.",Empleo de psicólogo/a reemplazo de vacaciones ,Importante compañía de servicios temporales requiere para su equipo de trabajo psicólogo con experiencia mínima de 1.., Mision Empresarial S.A
304,"Ayer, 09:09 p. m.",Empleo de convocatoria abierta flexibilidad en horarios para estudiar  - asesor ,"Konecta es la principal compañía de Relacionamiento con Clientes del mundo, estamos solicitamos talento humano para..", KONECTA
305,"Ayer, 09:09 p. m.",Empleo de Convocatoria Asesoras Comerciales - Un año de experiencia laboral. ,"Importante empresa requiere para su equipo de trabajo Asesoras comerciales de punto de venta, con experiencia mínima..", Jiro S.A.
306,"Ayer, 09:09 p. m.",Empleo de Diseñador Grafico  - Para laborar por 1 mes Medellin c,Importante club de la ciudad de Medellín requiere para su equipo de trabajo personal técnico o tecnólogo en diseño.., Jiro S.A.
307,"Ayer, 09:09 p. m.",Empleo de Operarios agrícolas  - La unión ,"Importante cultivo del municipio de la unión, requiere para su equipo de trabajo, personal hombres mayores de 18 a 45..", Jiro S.A.
308,"Ayer, 09:09 p. m.",Empleo de Analista de operaciones  - Data center,Importante empresa de Telecomunicaciones y acondicionamiento de edificios requiere para su equipo de trabajo 20.., ORGANIZACIÓN SERVICIOS Y ASESORIAS S.A.S.
309,"Ayer, 09:09 p. m.",Empleo de Todero (La Estrella Antioquia) - Mantenimiento,"Importante empresa del sector servicio, requiere para su equipo de trabajo todero con experiencia mínima de un año en..",
310,"Ayer, 09:09 p. m.",Empleo de Asesor comercial  - Urgente,"Importante empresa ubicada en el aeropuerto de Rionegro,requiere conurgencia asesores comerciales conminimo un año de..",
311,"Ayer, 09:09 p. m.",Empleo de Manejador Canino - Con experiencia 1 año,"Importante empresa de seguridad Privada ubicada en la ciudad de Medellin, requiere contratar personal para el cargo de..", GESTION DE RECURSOS TEMPORALES S.A.S. 
312,"Ayer, 09:09 p. m.",Empleo de Administrador de sede,"Se requiere personal para ocupar el cargo de Administrador de sede, con formación Tecnólogo o Profesional en..", Saitemp S.A 
313,"Ayer, 09:09 p. m.",Empleo de Auxiliar contable para remplazo de licencia de maternidad  ,Importante empresa del sector textil se encuentra en la búsqueda de un auxiliar contable para remplazo de licencia de.., Staffing de Colombia
314,"Ayer, 09:09 p. m.",Empleo de auxiliar de laboratorio - antioquia,"Importante empresa del sector salud está en búsqueda de un Auxiliar de Laboratorio Clínico y toma de muestras,..",
315,"Ayer, 09:09 p. m.",Empleo de bacteriologo de toma de muestra - caucasia  5h,Importante empresa del sector salud está en búsqueda de un Bacteriologo de toma de muestra preferiblemente con.., SUMMAR TEMPORALES SAS
316,"Ayer, 08:39 p. m.",Empleo de Entregador Pre Venta,"Se requiere bachiller con minimo 1 año y medio de experiencia con licencia de conducción C1 ó C2, para el cargo de..",
317,"Ayer, 08:39 p. m.",Empleo de Auxiliar contable - Programa Limitada,"Se requiere Técnico (a) Auxiliar Contable, con mínimo 60 meses de experiencia apoyando procesos contables; con..",
318,"Ayer, 08:39 p. m.",Empleo de Operador de equipos de perforación,"La empresa CIVELCOM SAS actualmente busca para su equipo de trabajo Ayudante de Perforación, con experiencia mínima de..",
319,"Ayer, 08:39 p. m.",Empleo de Asesor/a comercial,"Se requiere Técnica o Tecnólogo en Mercadeo y ventas, Administración comercial o áreas similares, para desempeñar el..",
320,"Ayer, 08:39 p. m.",Empleo de Conductor para Chigorodó,"mportante comercializadora de productos masivos requiere para su equipo de trabajo, bachilleres para desempeñarse como..",
321,"Ayer, 08:39 p. m.",Empleo de Asesor comercial multicanal - Rionegro,Empresa del sector cosmético capilar del canal mayorista y profesional requiere técnico o tecnólogo en áreas..,
322,"Ayer, 08:39 p. m.","Empleo de Auxiliar de sala de ventas - Oriente, nueva convocatoria","Nueva convocatoria paraDollar-City,en caso de que no hayasparticipado en la primera convocatoria, Te esperamos el..",
323,"Ayer, 08:39 p. m.",Empleo de Entregador Pre Venta,"Se requiere bachiller con minimo 1 año y medio de experiencia con licencia de conducción C1 ó C2, para el cargo de..",
324,"Ayer, 08:39 p. m.",Empleo de Auxiliar de distribución ,"Auxiliares de cargue y descargue, auxiliares de distribución de entrega y recogida. experiencia mínima de 6 meses en..", Redes Humanas
325,"Ayer, 08:39 p. m.",Empleo de tecnólogo en electromecánica,"Empresa del sector textil, requiere personalcon estudios tecnológicos en electromecánica o afinescon experiencia..", MANPOWER PROFESSIONAL LTDA
326,"Ayer, 08:39 p. m.",Empleo de Conductores Entregadores Con Licencia C2,"Reconocida empresa de Logística y trasporte, requiere para su equipo de trabajo conductores entregadores, deben contar..", MANPOWER PROFESSIONAL LTDA
327,"Ayer, 08:39 p. m.",Empleo de practicante de auxiliar administrativa,"Importante empresa de alimento requiere practicante de auxiliar administrativa, es importante no haber firmado antes..", Grupo Accion Plus
328,"Ayer, 08:39 p. m.",Empleo de Aprendiz de Talento Humano,Importante empresa del sector requiere aprendiz de técnica o tecnología en recursos humanos que estén en su etapa..,
329,"Ayer, 08:39 p. m.",Empleo de coordinador de operaciones,"Importante caja de compensación, requiereun coordinador de operaciones , para hacer funciones de: 1. Ejecución del..", Grupo Accion Plus
330,"Ayer, 08:39 p. m.",Empleo de Mercaderistas Urgente - Hombres,"Importante empresa de alimentos requiere de manera urgente HOMBRES con o sin moto, con experiencia como mercaderista..", Grupo Accion Plus
331,"Ayer, 08:39 p. m.",Empleo de Auxiliar Operativo - Gestión Documental,Importante empresa del área de Gestión Documental esta en busca de Auxiliares Operativos para su equipo de trabajo..., COMPLEMENTOS HUMANOS
332,"Ayer, 08:39 p. m.",Empleo de Técnico de mantenimiento,Importante empresa de la ciudad de Medellin requiere para su equipo de trabajo técnico de mantenimiento con mínimo 6.., COMPLEMENTOS HUMANOS
333,"Ayer, 08:38 p. m.",Empleo de vendedor tat (tienda a tienda) - valido solo con moto para importante empresa de lacteos,"Importante empresa del sector, requieren para su equipo de trabajo vendedor tat CON EXPERIENCIA MÍNIMA DE 1 AÑO..", ACTIVOS S A S
334,"Ayer, 08:38 p. m.","Empleo de Asesor comercial bancario ejecutivo comercial experiencia en libranza portafolio financiero - experiencia en  libranza, libre inversión, tarjetas de crédito o bancos ","Importante entidad financiera, requiere para su equipo de trabajo ASESORES COMERCIAL EXTERNO, para laborar..", ACTIVOS S A S
335,"Ayer, 08:38 p. m.",Empleo de Asesor de tecnologia - Rionegro,Reconocida empresa de tecnología requiere para su equipo de trabajo bachillercon experiencia mínima de6 meses en.., ACTIVOS S A S
336,"Ayer, 08:38 p. m.",Empleo de ejecutivos comerciales externos 1 año de experiencia  - con moto o carro para importante empresa de acero,Importante empresa de ACERO requiere para su equipo de trabajo asesores externos con un año de experiencia que hayan.., ACTIVOS S A S
337,"Ayer, 08:38 p. m.",Empleo de Impulsadoras del sector salud o  belleza - para empresa de productor ortopedicos,Importante empresa comercializadora de productos en el sector salud requiere impulsadora con mínimo 6 meses de.., ACTIVOS S A S
338,"Ayer, 08:38 p. m.",Empleo de Asesores integrales de servicio ,"Se requiere estudiante de carreras administrativas o financieras de 8 semestre en adelante o recién egresados , con..", ACTIVOS S A S
339,"Ayer, 08:38 p. m.",Empleo de auxiliar de aguas residuales ,Importante empresa del sector alimentosrequiere auxiliar de aguas residuales con el bachiller terminado o técnicaen el.., Mision Empresarial S.A
340,"Ayer, 08:38 p. m.",Empleo de auxiliar de aguas residuales ,Importante empresa del sector alimentosrequiere auxiliar de aguas residuales con el bachiller terminado o técnicaen el.., Mision Empresarial S.A
341,"Ayer, 08:38 p. m.",Empleo de Operarios de Producción sector  - Plástico Alimentos Textil Metalúrgico ,"Reconocidas empresas del sector textil, metalúrgico,alimentos y plástico requieren para vinculación inmediata hombres..", Mision Empresarial S.A
342,"Ayer, 08:38 p. m.",Empleo de Técnico auxiliar en Cocina,"Importante empresa del sector ubicada en llano grande busca para su equipo de trabajo, técnico o tecnologo en cocina..", Jiro S.A.
343,"Ayer, 08:38 p. m.",Empleo de Operario de Mantenimiento,"Importante empresa del sector de llano grande requiere para su equipo de trabajo técnico o tecnología mecánico, con..", Jiro S.A.
344,"Ayer, 08:38 p. m.",Empleo de Estudiante Ingeniería Industrial  - Avidesa Mac Pollo  Medellín,Importante empresa del sector avícola está en la búsqueda de practicantes de último semestre de Ingeniera Industrial.., Multiempleos S.A.
345,"Ayer, 08:38 p. m.",Empleo de Asesor Comercial  - para laborar en Calle  ,"Importante empresa dedicada a la venta de servicios de telefonía, busca personal para el cargo de asesores..", ORGANIZACIÓN SERVICIOS Y ASESORIAS S.A.S.
346,"Ayer, 08:38 p. m.",Empleo de Conductores con pase c2 - Para multinacional de alimentos,Multinacional de alimentos solicita para su personal 10 conductores bachilleres entre los 20 y 40 años de edadque.., ORGANIZACIÓN SERVICIOS Y ASESORIAS S.A.S.
347,"Ayer, 08:38 p. m.",Empleo de Coordinador - Data Center,"MEDELLIN y BOGOTA: Se requiere Profesional en Ingeniería Electrónica, Eléctrica, o Electromecánica, con experiencia..", ORGANIZACIÓN SERVICIOS Y ASESORIAS S.A.S.
348,"Ayer, 08:38 p. m.",Empleo de asesor comercial externo  - Carmen de Viboral,ASESOR COMERCIAL EXTERNO Empresa de servicios requiere para importante entidad financiera de la ciuda de Carmen de..,
349,"Ayer, 08:38 p. m.",Empleo de Operario metalmecánico - Manejo de herramientas manuales,"Importante empresa del sector Metalmecanico, solicita para su grupo de trabajo un operarios metalúrgicos, con..", GESTION DE RECURSOS TEMPORALES S.A.S. 
350,"Ayer, 08:38 p. m.",Empleo de Vendedores tat /Preventistas - Experiencia reciente,"Compañía con más de 37 años de experiencia, con unidades de negocio especializadas: BPO y Outsourcing y Suministro de..",
351,"Ayer, 08:38 p. m.",Empleo de Operario de torno CNC,"Se requiere personal para ocupar el cargo de Operario de torno CNC, con formación Técnico o tecnologo de Torno CNC,..", Saitemp S.A 
352,"Ayer, 08:38 p. m.",Empleo de Notificador  - Cobrador ,"TyS tiene una oferta para ti  Importante empresa del sector, solicita para su equipo de trabajo bachiller, técnico o..", T&S TEMSERVICE S.A.S
353,"Ayer, 08:38 p. m.",Empleo de Bacteriologo de toma de muestra - medellin,Importante empresa del sector salud está en búsqueda de un Bacteriologo de toma de muestra preferiblemente con..,
354,"Ayer, 08:24 p. m.",Empleo de Auxiliar de Mantenimiento ,"Importante Multinacional requiere para su consolidado equipo de trabajo, un Auxiliar de mantenimiento locativo que..",
355,"Ayer, 08:08 p. m.",Empleo de Trabajador(a) Social  - Con experiencia en Programas Buen Comienzo,"Se requiere profesional con experiencia certificada en trabajo de campo con niños, niñas y familias, o en la..",
356,"Ayer, 08:08 p. m.",Empleo de Técnico latonero - 4 años de experiencia,"Se requiere Técnico Laminador que tenga experiencia mínima de 4 años, en reparación de vehículos con conocimiento en..",
357,"Ayer, 08:08 p. m.",Empleo de oficial de construcción  pintura y estuco,"Importante empresa de construcción, requiere para su equipo de trabajo Oficiales de obra con experiencia mínima..",
358,"Ayer, 08:08 p. m.",Empleo de Desarrollador Frontend o Backend - 3 años de experiencia,Somos una compañía internacional con sede en Medellín buscando para nuestro equipo de trabajo Desarrollador Frontend o..,
359,"Ayer, 08:08 p. m.",Empleo de oficial de construcción masillador,"Importante empresa de construcción, requiere para su equipo de trabajo Oficiales de obra con experiencia mínima..",
360,"Ayer, 08:08 p. m.",Empleo de Guarda de seguridad vigilante ,"Se requiere bachiller con 6 meses de experiencia en el cargo relacionado, con curso de vigilancia actualizado, con..",
361,"Ayer, 08:08 p. m.",Empleo de Tecnólogo en Costos y Presupuestos,"Se requiere Tecnólogo en Costos y Calidad o Costos y presupuestos, con experiencia mínima de 1 año en el cargo...",
362,"Ayer, 08:08 p. m.",Empleo de Auxiliar de cartera - Técnico en áreas administrativas con 1 año de experiencia  en el cargo,"Se requiere Técnico en áreas administrativas, financieras o contables con mínimo 1 año de experiencia para el cargo de..",
363,"Ayer, 08:08 p. m.",Empleo de Administrador tienda de moda,"Importante comercializadora de textil de marcas reconocidas, requiere bachiller o tecnico para desempeñarse como..",
364,"Ayer, 08:08 p. m.",Empleo de Operario puente grua,Importante empresa de estructuras metálicas requiere para su equipo de trabajo personal con experiencia de 2 años en.., Tiempos SAS
365,"Ayer, 08:08 p. m.",Empleo de ayudante de producción para empresa ubicada en copacabana - Experiencia en áreas en procesos de producción,Importante empresa ubicada en el norte de la ciudad requiere ayudante de producción con experiencia de 2 años como.., MANPOWER PROFESSIONAL LTDA
366,"Ayer, 08:08 p. m.",Empleo de Analista Centro de operaciones de red - Indispensable experiencia en NOC (Centro de operación de monitoreo),Importante empresa ubicada en el Poblado requiere Analista Centro de operaciones de red con experiencia de un año en.., MANPOWER PROFESSIONAL LTDA
367,"Ayer, 08:08 p. m.",Empleo de Auxiliar de Nomina,Importante empresa del sector automotriz requiere para su equipo de trabajo profesional con estudios de nomina y..,
368,"Ayer, 08:08 p. m.",Empleo de Auxiliar de SST con curso de coordinador de alturas - Disponibilidad para rotar turnos,"Importante empresa ubicada en hacia el norte de Medellín, requiere persona para la vacante en mención. Estudios:..", MANPOWER PROFESSIONAL LTDA
369,"Ayer, 08:08 p. m.",Empleo de Auxiliar de archivo,"Cooperativa requiere persona con experiencia como auxiliar de archivo mínimo de un año, salario $828.116 mas todas las..", Grupo Accion Plus
370,"Ayer, 08:08 p. m.",Empleo de Parrillera - Experiencia en cocinas industriales,"Cocina industrial requiere personas con experiencia como parrilleras en cocinas industriales, salario $900.000 mas..", Grupo Accion Plus
371,"Ayer, 08:08 p. m.",Empleo de conductor entregador,"Importante empresa de alimentos, requiere conductor entregador para hacer funciones de repartir la mercancia, tienda a..", Grupo Accion Plus
372,"Ayer, 08:08 p. m.",Empleo de Oferta de estudio para entidad financiera,IMPORTANTE BANCO cuenta actualmente con la Convocatoria para realizar la Técnica en Asesoría Comercial y operaciones.., Grupo Accion Plus
373,"Ayer, 08:08 p. m.",Empleo de Asesor Comercial - Sector Inmobiliario,Reconocida compañía distribuidora de vehículos de alta gama requiere para su equipo de trabajo personal con.., Colombiana de Comercio Corbeta S.A. /Alkosto
374,"Ayer, 08:08 p. m.",Empleo de Auxiliar Operativo - Gestión Documental,Importante empresa del área de Gestión Documental esta en busca de Auxiliares Operativos para su equipo de trabajo..., COMPLEMENTOS HUMANOS
375,"Ayer, 08:08 p. m.",Empleo de Auxiliares de Bodega  - Temporada Madres,"Importante almacén multimarca,busca personal para su equipo de trabajo para el cargo: AUXILIARES DE BODEGA para..", COMPLEMENTOS HUMANOS
376,"Ayer, 08:08 p. m.",Empleo de Formador en Video juegos Bilingue - Gaming Support,"Importante multinacional busca para su equipo de trabajo de contac center, personas apasionadas por los video juegos..", OneLink BPO
377,"Ayer, 08:08 p. m.",Empleo de Asesor ,Asesor de servicio al cliente bilingüe - Inglés. En Onelink estamos buscando personas con un alto nivel de inglés para.., OneLink BPO
378,"Ayer, 08:08 p. m.",Empleo de auxiliar de carga experiencia de 1 año - para imporante empresa del sector,Importante empresa del sector requiere para su equipo de trabajos auxiliares de carga para LABORES EXTERNAS (SALIR A.., ACTIVOS S A S
379,"Ayer, 08:07 p. m.",Empleo de Arquitecto/a de software,"Se requiere Arquitecto/a de Software, Ingeniera/o de sistemas preferiblemente con Especialización en Ingeniería de..", KONECTA
380,"Ayer, 08:07 p. m.",Empleo de Mercaderista easy  - Mercaderista easy,"importante empresa requiere (preferiblemente hombres) técnicos , tecnológos o estudios universitarios en áreas..", ORGANIZACIÓN SERVICIOS Y ASESORIAS S.A.S.
381,"Ayer, 08:07 p. m.",Empleo de Operarios de producción  manejo de maquinas industriales,Importante y reconocida empresa de alimentos solicita para su personal Operarios de producción con minimo 1 año de.., ORGANIZACIÓN SERVICIOS Y ASESORIAS S.A.S.
382,"Ayer, 08:07 p. m.",Empleo de Vigilante,PARA TRABAJAR EN EL SANTUARIO ANTIOQUIA Importante iglesia cristiana requiere para su equipo de trabajo a bachiller.., SERVIMOS LTDA
383,"Ayer, 08:07 p. m.",Empleo de Aprendiz de salud ocupacional - Estudiante en búsqueda de contrato de aprendizaje,"Importante empresa de la ciudad de Medellín, solicita para su grupo de trabajo aprendiz en etapa productiva en técnica..", GESTION DE RECURSOS TEMPORALES S.A.S. 
384,"Ayer, 08:07 p. m.",Empleo de Asesor comercial - Sector de alimentos,Importante empresa del sector de alimentos busca para su equipo de trabajo bachiller técnico o tecnologo con mínimo 6.., SERVIMOS LTDA
385,"Ayer, 08:07 p. m.",Empleo de Se requiere asesor comercial con 3 años de experiencia en areas comerciales - 1 año de experiencia asesorando clientes,Importante compañia mexicana que se dedica ala comercializacion de tecnologia y electronica requiere para su equipo de.., nexarte servicios temporales s.a
386,"Ayer, 08:07 p. m.",Empleo de Se requiere conductor de camion - minimo 3 años de experiencia como conductor de camion certificado,Importante compañía de consumo masivo requiere para su equipo de trabajo conductor de camion con 3 años o mas de.., nexarte servicios temporales s.a
387,"Ayer, 08:07 p. m.",Empleo de Visador de Cheques - Urgente,"Importante transportadora de valoresrequiere personal bachiller, tecnico, o tecnolgocon experiencia mínima de 2 AÑOS..", nexarte servicios temporales s.a
388,"Ayer, 08:07 p. m.",Empleo de Se requiere preventista - minimo 6 meses de experiencia como vendedor t a t,Importante compañía de consumo masivo requiere para su equipo de trabajo preventista con experiencia mínima de 6 meses.., nexarte servicios temporales s.a
389,"Ayer, 08:07 p. m.",Empleo de Conductor de camión ,"Importante empresa administradora de estaciones de servicios se encuentra en la búsqueda de un CONDUCTOR, entre sus..", Staffing de Colombia
390,"Ayer, 08:07 p. m.",Empleo de Operario de planta ,"Importante empresa ubicada en el Sur de la ciudad de Medellín, requiere para su equipo de trabajo Operario de Planta..", Staffing de Colombia
391,"Ayer, 08:07 p. m.",Empleo de Supervisor de operaciones,TyS te invita a la siguiente convocatoria:  Importante empresa de electrodomésticos de línea blanca solicita Técnico..,
392,"Ayer, 08:07 p. m.",Empleo de Almacenista en sitio  - Taller ,"TyS tiene una oferta importante para ti  Importante empresa del sector, solicita para su equipo de trabajo bachiller o..", T&S TEMSERVICE S.A.S
393,"Ayer, 08:07 p. m.",Empleo de Auxiliar de servicios generales - envigado,"Importante empresa del sector salud se encuentra en búsqueda de Auxiliar en servicios generales, preferiblemente con..",
394,"Ayer, 08:07 p. m.",Empleo de Impulsadora  - Promotora ,"Importante empresa requiere para su grupo de trabajo bachiller, tecnica con experiencia mínima de 6 meses en impulso,..", SUMMAR TEMPORALES SAS
395,"Ayer, 07:37 p. m.",Empleo de oficios varios (comercial y ventas) - Con licencia C2 vigente,"Importante Empresa el Sector Avícola requiere para su grupo de trabajo, Oficios Varios (Comercial y ventas) CON..",
396,"Ayer, 07:37 p. m.",Empleo de Supervisor de almacenamiento y distribución para Chigorodó,"Importante empresa de productos de consumo masivo requiere para su equipo de trabajo Técnico, Tecnólogo en logística o..",
397,"Ayer, 07:37 p. m.",Empleo de Residente Redes Electricas y Telecomunicaciones	,"Empresa requiere Ingeniero electricista o ingeniero eléctrico, con matricula vigente. Debe tener experiencia en..",
398,"Ayer, 07:37 p. m.",Empleo de Operario centro de mecanicazado cnc,"Bachiller con experiencia, Técnico en maquinas o herramientas o Tecnológico CNC Experiencia: 2 año en operación de..",
399,"Ayer, 07:37 p. m.",Empleo de Ayudante de carga para Carepa,"Empresa del sector comercio requiere para su equipo de trabajo, bachiller para desempeñarse como Ayudante de carga con..",
400,"Ayer, 07:37 p. m.",Empleo de Residente Redes Electricas y Telecomunicaciones	,"Empresa requiere Ingeniero electricista o ingeniero eléctrico, con matricula vigente. Debe tener experiencia en..",
401,"Ayer, 07:37 p. m.",Empleo de Operario centro de mecanicazado cnc,"Bachiller con experiencia, Técnico en maquinas o herramientas o Tecnológico CNC Experiencia: 2 año en operación de..",
402,"Ayer, 07:37 p. m.",Empleo de Ayudante de carga para Carepa,"Empresa del sector comercio requiere para su equipo de trabajo, bachiller para desempeñarse como Ayudante de carga con..",
403,"Ayer, 07:37 p. m.",Empleo de Vendedor externo,Se requiere técnico en cualquier area con experiencia de 6 meses impulsando productos o servicio preferiblemente en la..,
404,"Ayer, 07:37 p. m.",Empleo de Coordinador comercial - Sector cultural o deportivo,Importante corporación de Antioquia requiere para su equipo de trabajo Tecnólogo (a) o Profesional en áreas..,
405,"Ayer, 07:37 p. m.",Empleo de Asistente de producción sector avícola - Rionegro,"Se requiere Tecnólogo Agropecuario, Administrador de empresas agropecuarias, Zootecnista o Medico Veterinario para el..",
406,"Ayer, 07:37 p. m.",Empleo de Operario de aseo  - con un año de experiencia,"Importante empresa especializada en la prestación de servicios de aseo, requiere para su equipo de trabajo operarios..", DIAMANTE
407,"Ayer, 07:37 p. m.",Empleo de Ejecutivo externo - credito consumo,"En el grupo AVAL queremos personas con capacidad de persuasión, innovación, alto nivel de tolerancia a la..", VENTAS Y SERVICIOS S.A.
408,"Ayer, 07:37 p. m.",Empleo de ayudante de armador de estructuras metálicas  - con mínimo un año de experiencia en empresas metalmecanicas ,Importante empresa del sector metalmecanico busca ayudante de armado de estructuras metálicas con experiencia de un.., Tiempos SAS
409,"Ayer, 07:37 p. m.",Empleo de Aprendiz SENA en logística - Listo para realizar su fase productiva,"Importante empresa del sector textil requiere un aprendiz SENA en Logística y/o carreras afines, para apoyar los..", Tiempos SAS
410,"Ayer, 07:37 p. m.",Empleo de Auxiliar De Cocina - Con Experiencia Cocinando en grandes cantidades,Importante empresa del sector requiere para su equipo de trabajo persona con experiencia cocinando en grandes.., MANPOWER PROFESSIONAL LTDA
411,"Ayer, 07:37 p. m.",Empleo de Kam Key account manager - cuentas claves,"Se requiere profesionalcon experiencia mínima de 4 años en inventarios, reportes, ordenes de compra, cuota de ventas..", MANPOWER PROFESSIONAL LTDA
412,"Ayer, 07:37 p. m.",Empleo de cajero/a,"Importante empresa requiere para su equipo de trabajo cajeros con formación técnica, teconologoo profesional en..", MISION TEMPORAL
413,"Ayer, 07:37 p. m.",Empleo de Gerente de Zona Yaruma lAntioquia,"Empresa del sector de belleza, requiere para su equipo de trabajo un profesional en carreras administrativas o..", MANPOWER PROFESSIONAL LTDA
414,"Ayer, 07:37 p. m.",Empleo de Desarrollador Star People,Importante multinacional requiere desarrollador con experiencia mínimo 2 años desarrollando o programando en Star.., MANPOWER PROFESSIONAL LTDA
415,"Ayer, 07:37 p. m.",Empleo de Mercaderistas de ruta preventistas tat asesores intangibles - con moto,"Empresa del sector de seguros requiere personas con experiencia en venta en frio, tat, mercaderistas de ruta,..", Grupo Accion Plus
416,"Ayer, 07:37 p. m.",Empleo de Reconocida empresa de casinos ubicada en Bello - Requiere chef be,Se requiere chef debe contar con pasión por la labor. Persona responsable y .debe contar con la habilidad del saber.., Grupo Accion Plus
417,"Ayer, 07:37 p. m.",Empleo de conductor entregador,"Importante empresa de alimentos, requiere conductor entregador para hacer funciones de repartir la mercancia, tienda a..", Grupo Accion Plus
